40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
361  # number of data
#a  b  m  n  u  i 
  8     29    17    20    35.42     5.63   
  9     30    18    21    47.55     10.66  
  10    31    19    22    30.30     5.66   
  11    32    20    23    48.15     10.03  
  12    33    21    24    38.12     12.84  
  13    34    22    25    26.73     11.74  
  14    35    23    26    25.66     13.63  
  15    36    24    27    81.54     34.07  
  16    37    25    28    38.24     16.45  
  17    38    26    29    23.37     8.74   
  18    39    27    30    87.84     25.77  
  0     23    10    13    98.79     24.57  
  1     24    11    14    99.65     25.15  
  2     25    12    15    38.85     7.84   
  3     26    13    16    35.38     10.10  
  4     27    14    17    48.66     12.05  
  5     28    15    18    40.11     8.97   
  6     29    16    19    27.47     6.57   
  7     30    17    20    54.52     10.90  
  8     31    18    21    31.97     8.12   
  9     32    19    22    87.69     22.44  
  10    33    20    23    44.46     12.33  
  11    34    21    24    88.10     37.24  
  12    35    22    25    29.04     16.08  
  13    36    23    26    23.36     14.57  
  14    37    24    27    33.93     18.10  
  15    38    25    28    91.45     44.84  
  16    39    26    29    41.54     18.71  
  0     25    11    14    55.51     17.28  
  1     26    12    15    84.55     19.80  
  2     27    13    16    40.43     11.88  
  3     28    14    17    65.83     20.38  
  4     29    15    18    62.15     19.54  
  5     30    16    19    30.10     8.38   
  6     31    17    20    28.15     6.49   
  7     32    18    21    34.88     12.60  
  8     33    19    22    23.38     7.54   
  9     34    20    23    44.22     15.80  
  10    35    21    24    29.51     15.30  
  11    36    22    25    34.59     23.24  
  12    37    23    26    25.78     21.05  
  13    38    24    27    26.69     15.53  
  14    39    25    28    31.87     19.90  
  0     27    12    15    53.86     15.73  
  1     28    13    16    68.19     23.67  
  2     29    14    17    85.76     29.02  
  3     30    15    18    75.99     25.70  
  4     31    16    19    75.46     27.00  
  5     32    17    20    43.73     14.51  
  6     33    18    21    15.78     6.11   
  7     34    19    22    30.99     13.70  
  8     35    20    23    19.26     8.19   
  9     36    21    24    72.95     42.98  
  10    37    22    25    25.37     20.11  
  11    38    23    26    43.68     40.67  
  12    39    24    27    32.32     23.53  
  0     29    13    16    52.87     23.49  
  1     30    14    17    55.68     20.91  
  2     31    15    18    69.12     27.08  
  3     32    16    19    86.10     38.53  
  4     33    17    20    43.77     21.25  
  5     34    18    21    27.11     16.01  
  6     35    19    22    13.41     6.51   
  7     36    20    23    21.15     11.99  
  8     37    21    24    7.84      7.88   
  9     38    22    25    87.21     88.39  
  10    39    23    26    19.66     22.32  
  0     31    14    17    45.87     22.29  
  1     32    15    18    58.93     28.51  
  2     33    16    19    39.33     21.22  
  3     34    17    20    83.57     51.69  
  4     35    18    21    32.07     27.67  
  5     36    19    22    19.49     13.70  
  6     37    20    23    9.94      6.31   
