40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
359  # number of data
#a  b  m  n  u  i 
  4     27    14    17    64.41     89.98 
  5     28    15    18    72.92     87.40 
  6     29    16    19    53.99     41.71 
  7     30    17    20    82.79     57.08 
  8     31    18    21    37.92     27.54 
  9     32    19    22    69.26     49.26 
  10    33    20    23    12.03     22.32 
  11    34    21    24    15.83     28.77 
  12    35    22    25    44.02     62.76 
  13    36    23    26    64.10     68.74 
  14    37    24    27    12.23     31.37 
  15    38    25    28    12.84     29.02 
  16    39    26    29    5.25      34.88 
  0     25    11    14    6.04      52.84 
  1     26    12    15    8.37      39.35 
  2     27    13    16    13.47     68.88 
  3     28    14    17    32.43     75.88 
  4     29    15    18    33.71     49.47 
  5     30    16    19    71.26     56.56 
  6     31    17    20    42.11     33.13 
  7     32    18    21    72.93     66.09 
  8     33    19    22    32.28     38.08 
  9     34    20    23    60.34     85.75 
  10    35    21    24    12.84     26.93 
  11    36    22    25    16.73     33.55 
  12    37    23    26    23.13     41.50 
  13    38    24    27    12.59     57.01 
  14    39    25    28    12.82     41.81 
  0     27    12    15    8.06      44.26 
  1     28    13    16    9.94      68.80 
  2     29    14    17    8.99      42.67 
  3     30    15    18    28.69     51.55 
  4     31    16    19    43.97     37.88 
  5     32    17    20    79.61     65.18 
  6     33    18    21    50.20     49.47 
  7     34    19    22    55.66     76.95 
  8     35    20    23    23.44     54.62 
  9     36    21    24    60.84     153.74
  10    37    22    25    6.18      22.23 
  11    38    23    26    11.59     30.66 
  12    39    24    27    12.79     62.91 
  0     29    13    16    2.32      32.06 
  1     30    14    17    9.28      48.26 
  2     31    15    18    6.64      33.81 
  3     32    16    19    55.59     58.53 
  4     33    17    20    70.50     60.72 
  5     34    18    21    72.89     75.73 
  6     35    19    22    54.18     81.96 
  7     36    20    23    45.25     127.26
  8     37    21    24    9.22      37.95 
  9     38    22    25    21.64     105.09
  10    39    23    26    11.13     27.00 
  0     31    14    17    3.15      26.78 
  1     32    15    18    14.42     54.25 
  2     33    16    19    19.86     50.69 
  3     34    17    20    63.17     66.97 
  4     35    18    21    76.78     81.87 
  5     36    19    22    48.06     84.18 
  6     37    20    23    13.79     49.45 
  7     38    21    24    13.33     92.16 
  8     39    22    25    8.44      54.85 
  0     33    15    18    7.06      36.28 
  1     34    16    19    23.39     61.43 
  2     35    17    20    39.66     85.10 
  3     36    18    21    76.46     101.87
  4     37    19    22    27.68     60.50 
  5     38    20    23    20.22     90.31 
  6     39    21    24    12.20     82.55 
  0     35    16    19    11.66     50.59 
  1     36    17    20    37.48     89.08 
  2     37    18    21    13.50     50.59 
  3     38    19    22    26.17     78.34 
  4     39    20    23    26.09     121.26
  0     37    17    20    8.57      36.35 
  1     38    18    21    15.47     70.73 
  2     39    19    22    14.09     85.54 
  0     39    18    21    9.06      50.96 
