43 # shot/geophone points
#x	y
54.0000 18.0000
54.0000 16.0000
54.0000 14.0000
54.0000 12.0000
54.0000 10.0000
54.0000 8.0000
54.0000 6.0000
54.0000 4.0000
54.0000 2.0000
54.0000 0.0000
52.0000 0.0000
50.0000 0.0000
48.0000 0.0000
46.0000 0.0000
44.0000 0.0000
42.0000 0.0000
40.0000 0.0000
38.0000 0.0000
36.0000 0.0000
34.0000 0.0000
32.0000 0.0000
30.0000 0.0000
28.0000 0.0000
26.0000 0.0000
24.0000 0.0000
22.0000 0.0000
20.0000 0.0000
18.0000 0.0000
16.0000 0.0000
14.0000 0.0000
12.0000 1.0000
11.0833 2.7500
10.1667 4.5000
9.2500 6.2500
8.3333 8.0000
7.4167 9.7500
6.5000 11.5000
5.5833 13.2500
4.6667 15.0000
3.7500 16.7500
2.8333 18.5000
1.9167 20.2500
1.0000 22.0000
701 # measurements
#s	g	t
35 23 0.003870
35 24 0.003390
35 25 0.003390
35 26 0.003320
35 27 0.002640
35 28 0.002500
35 29 0.002500
35 30 0.002100
36 1 0.008150
36 2 0.008220
36 3 0.008360
36 4 0.008080
36 5 0.007880
36 6 0.008080
36 7 0.008080
36 8 0.007880
36 9 0.008220
36 10 0.008080
36 11 0.007950
36 12 0.007950
36 13 0.007470
36 14 0.007200
36 15 0.006650
36 16 0.006450
36 17 0.006180
36 18 0.006110
36 19 0.005770
36 20 0.005570
36 21 0.004820
36 22 0.004410
36 23 0.004340
36 24 0.003930
36 25 0.003730
36 26 0.003530
36 27 0.003190
36 28 0.002840
36 29 0.002710
36 30 0.002500
37 1 0.008490
37 2 0.008760
37 3 0.009380
37 4 0.009040
37 5 0.008900
37 6 0.009040
37 7 0.009100
37 8 0.008560
37 9 0.008700
37 10 0.008560
37 11 0.008760
37 12 0.008640
37 13 0.008230
37 14 0.007960
37 15 0.007820
37 16 0.007890
37 17 0.007690
37 18 0.007350
37 19 0.006670
37 21 0.006190
37 22 0.005360
37 23 0.004820
37 24 0.004270
37 25 0.004140
37 26 0.003930
37 27 0.003730
37 28 0.003190
37 29 0.002980
37 30 0.002780
38 1 0.008700
38 2 0.008630
38 3 0.008490
38 4 0.008290
38 5 0.008220
38 7 0.008760
38 8 0.008760
38 9 0.008830
38 10 0.008700
38 11 0.008700
38 12 0.008630
38 13 0.008150
38 14 0.007740
38 15 0.007740
38 16 0.007060
38 17 0.006860
38 18 0.006650
38 19 0.006450
38 20 0.005770
38 21 0.005630
38 22 0.005230
38 23 0.005020
38 24 0.004610
38 25 0.004410
38 26 0.004270
38 27 0.003800
38 28 0.003590
38 29 0.003320
38 30 0.003250
39 1 0.008700
39 2 0.008830
39 3 0.009310
39 4 0.009510
39 5 0.009240
39 6 0.009170
39 7 0.009100
39 8 0.008900
39 9 0.008970
39 10 0.008970
39 11 0.008830
39 12 0.009440
39 13 0.009380
39 14 0.008830
39 15 0.008220
39 16 0.007670
39 17 0.007200
39 18 0.007060
39 19 0.006650
39 20 0.006180
39 21 0.006180
39 22 0.005770
39 23 0.005570
39 24 0.005290
39 25 0.005160
39 26 0.004610
39 27 0.004140
39 28 0.003800
39 29 0.004070
39 30 0.003530
40 1 0.008760
40 2 0.009100
40 3 0.009040
40 4 0.008700
40 5 0.008700
40 6 0.008700
40 7 0.008700
40 8 0.008830
40 9 0.009100
40 10 0.009100
40 11 0.008700
40 12 0.008760
40 13 0.008420
40 14 0.008560
40 15 0.008420
40 16 0.007810
40 17 0.007400
40 18 0.006990
40 19 0.006720
40 20 0.006450
40 21 0.006110
40 22 0.005430
40 23 0.005160
40 24 0.005090
40 25 0.004950
40 26 0.004750
40 27 0.004410
40 28 0.004140
40 29 0.003730
40 30 0.003120
41 1 0.008970
41 2 0.008970
41 3 0.009240
41 4 0.009310
41 5 0.009100
41 7 0.009510
41 8 0.009240
41 9 0.009380
41 10 0.009170
41 11 0.009240
41 12 0.009310
41 13 0.009170
41 14 0.008490
41 15 0.008490
41 16 0.008220
41 17 0.007610
41 18 0.007270
41 19 0.007130
41 20 0.006590
41 21 0.006380
