40 # number of electrodes
# x y z
0.000 0.000 0.250 
-1.000 0.000 0.250 
-2.000 0.000 0.250 
-3.000 0.000 0.250 
-4.000 0.000 0.250 
-5.000 0.000 0.250 
-6.000 0.000 0.250 
-7.000 0.000 0.250 
-8.000 0.000 0.250 
-9.000 0.000 0.250 
-10.000 0.000 0.250 
-11.000 0.000 0.250 
-12.000 0.000 0.250 
-13.000 0.000 0.250 
-14.000 0.000 0.250 
-15.000 0.000 0.250 
-16.000 0.000 0.250 
-17.000 0.000 0.250 
-18.000 0.000 0.250 
-19.000 0.000 0.250 
-20.000 0.000 0.250 
-21.000 0.000 0.250 
-22.000 0.000 0.250 
-23.000 0.000 0.250 
-24.000 0.000 0.250 
-25.000 0.000 0.250 
-26.000 0.000 0.250 
-27.000 0.000 0.250 
-28.000 0.000 0.250 
-29.000 0.000 0.250 
-30.000 0.000 0.250 
-31.000 0.000 0.250 
-32.000 0.000 0.250 
-33.000 0.000 0.250 
-34.000 0.000 0.250 
-35.000 0.000 0.250 
-36.000 0.000 0.250 
-37.000 0.000 0.250 
-38.000 0.000 0.250 
-39.000 0.000 0.250 
359  # number of data
#a  b  m  n  i  u  err
  23    34    28    29     18.12     46.08     0.00
  24    35    29    30     46.90     50.71     0.00
  25    36    30    31     149.21    18.76     1.20
  26    37    31    32     74.94     70.28     0.10
  27    38    32    33     36.75     11.27     0.20
  28    39    33    34     66.00     77.88     0.00
  29    40    34    35     85.14     67.41     0.10
  1     14    7     8      33.21     16.93     0.30
  2     15    8     9      32.73     52.22     0.10
  3     16    9     10     25.98     68.16     0.20
  4     17    10    11     29.53     13.54     0.50
  5     18    11    12     58.28     33.48     0.30
  6     19    12    13     40.38     16.87     0.10
  7     20    13    14     36.36     9.57      0.30
  8     21    14    15     39.74     9.48      0.80
  9     22    15    16     50.69     16.38     0.60
  10    23    16    17     122.13    57.28     0.10
  11    24    17    18     23.61     24.56     0.40
  12    25    18    19     31.04     78.99     0.00
  13    26    19    20     45.73     76.78     0.00
  14    27    20    21     23.62     30.04     0.10
  15    28    21    22     25.60     33.46     0.00
  16    29    22    23     28.68     18.00     0.00
  17    30    23    24     24.92     6.39      0.70
  18    31    24    25     43.19     24.46     0.20
  19    32    25    26     25.40     21.69     0.10
  20    33    26    27     36.96     43.25     0.20
  22    35    28    29     60.76     83.10     0.00
  23    36    29    30     108.17    85.00     0.10
  24    37    30    31     106.33    0.85      12.20
  25    38    31    32     65.83     34.82     0.20
  26    39    32    33     150.69    14.41     0.30
  27    40    33    34     52.35     28.79     0.50
  1     16    7     10     21.40     83.06     0.20
  2     17    8     11     19.42     80.21     0.00
  3     18    9     12     33.16     96.46     0.00
  4     19    10    13     37.84     29.32     0.00
  5     20    11    14     42.30     22.99     0.00
  6     21    12    15     39.45     12.57     0.70
  7     22    13    16     73.10     55.86     0.00
  8     23    14    17     105.07    67.47     0.10
  9     24    15    18     43.53     51.43     0.10
  10    25    16    19     8.85      30.80     0.10
  11    26    17    20     7.10      31.70     0.10
  12    27    18    21     5.95      27.42     0.10
  13    28    19    22     13.65     52.28     0.10
  14    29    20    23     14.32     33.91     0.00
  15    30    21    24     19.27     20.76     0.10
  16    31    22    25     24.36     25.94     0.00
  17    32    23    26     21.50     21.59     0.10
  18    33    24    27     48.48     84.29     0.20
  19    34    25    28     34.33     52.81     0.20
  20    35    26    29     40.20     78.04     0.10
  21    36    27    30     45.66     52.12     0.00
  22    37    28    31     42.83     79.22     0.00
  23    38    29    32     46.46     49.78     0.20
  24    39    30    33     54.88     26.10     0.30
  25    40    31    34     38.86     44.61     0.10
  1     18    8     11     8.93      26.78     1.00
  2     19    9     12     24.63     39.34     0.20
  3     20    10    13     37.35     23.16     0.00
  4     21    11    14     37.05     9.06      1.40
  5     22    12    15     102.53    19.17     0.50
  6     23    13    16     102.54    45.95     0.00
  7     24    14    17     59.06     27.29     0.10
  8     25    15    18     68.82     69.19     0.30
  9     26    16    19     39.29     68.51     0.00
  10    27    17    20     12.54     44.91     0.20
  11    28    18    21     6.46      27.24     0.00
  12    29    19    22     7.87      22.83     0.40
  13    30    20    23     24.56     45.80     0.10
  14    31    21    24     27.85     29.56     0.00
  15    32    22    25     23.96     15.12     0.00
  16    33    23    26     25.94     25.41     0.60
  17    34    24    27     27.46     40.27     0.00
  18    35    25    28     54.01     68.41     0.10
  19    36    26    29     46.85     68.54     0.00
  20    37    27    30     50.32     37.91     0.20
  21    38    28    31     33.41     32.24     0.10
  22    39    29    32     109.94    53.01     0.20
  23    40    30    33     159.49    63.01     0.20
  1     20    9     12     28.46     26.03     0.20
  2     21    10    13     35.28     17.51     0.40
  3     22    11    14     76.09     13.98     1.00
  4     23    12    15     86.77     9.33      0.80
  5     24    13    16     76.45     28.66     0.00
  6     25    14    17     98.76     32.04     0.70
  7     26    15    18     89.40     66.03     0.10
  8     27    16    19     44.98     50.96     0.00
  9     28    17    20     32.24     77.15     0.10
  10    29    18    21     26.19     91.16     0.00
  11    30    19    22     14.04     36.10     0.10
  12    31    20    23     17.30     29.13     0.00
  13    32    21    24     29.38     23.30     0.10
  14    33    22    25     45.84     30.71     0.00
  15    34    23    26     31.48     23.99     0.10
  16    35    24    27     27.41     36.62     0.00
  17    36    25    28     34.82     29.13     0.50
  18    37    26    29     74.14     77.29     0.00
  19    38    27    30     34.15     13.83     0.00
  20    39    28    31     43.87     34.07     0.10
  21    40    29    32     45.81     4.86      1.70
  1     22    10    13     46.32     8.80      0.60
