40 # number of electrodes
# x y z
0.000 0.000 1.250 
-1.000 0.000 1.250 
-2.000 0.000 1.250 
-3.000 0.000 1.250 
-4.000 0.000 1.250 
-5.000 0.000 1.250 
-6.000 0.000 1.250 
-7.000 0.000 1.250 
-8.000 0.000 1.250 
-9.000 0.000 1.250 
-10.000 0.000 1.250 
-11.000 0.000 1.250 
-12.000 0.000 1.250 
-13.000 0.000 1.250 
-14.000 0.000 1.250 
-15.000 0.000 1.250 
-16.000 0.000 1.250 
-17.000 0.000 1.250 
-18.000 0.000 1.250 
-19.000 0.000 1.250 
-20.000 0.000 1.250 
-21.000 0.000 1.250 
-22.000 0.000 1.250 
-23.000 0.000 1.250 
-24.000 0.000 1.250 
-25.000 0.000 1.250 
-26.000 0.000 1.250 
-27.000 0.000 1.250 
-28.000 0.000 1.250 
-29.000 0.000 1.250 
-30.000 0.000 1.250 
-31.000 0.000 1.250 
-32.000 0.000 1.250 
-33.000 0.000 1.250 
-34.000 0.000 1.250 
-35.000 0.000 1.250 
-36.000 0.000 1.250 
-37.000 0.000 1.250 
-38.000 0.000 1.250 
-39.000 0.000 1.250 
361  # number of data
#a  b  m  n  i  u  err
  12    29    19    22     7.82      68.29     0.00
  13    30    20    23     6.28      58.56     0.00
  14    31    21    24     3.34      29.66     0.10
  15    32    22    25     5.09      30.62     0.00
  16    33    23    26     16.88     71.92     0.10
  17    34    24    27     14.57     43.64     0.30
  18    35    25    28     6.32      27.48     0.50
  19    36    26    29     17.71     85.80     0.10
  20    37    27    30     14.99     83.55     0.20
  21    38    28    31     8.91      50.62     0.40
  22    39    29    32     8.30      44.53     0.20
  23    40    30    33     11.52     71.13     0.00
  1     20    9     12     3.78      36.01     0.30
  2     21    10    13     5.89      42.05     0.10
  3     22    11    14     4.70      32.43     0.30
  4     23    12    15     7.82      39.98     0.10
  5     24    13    16     7.84      51.20     0.10
  6     25    14    17     3.48      22.13     1.10
  7     26    15    18     4.60      40.38     0.00
  8     27    16    19     8.70      77.39     0.20
  9     28    17    20     4.79      46.88     0.00
  10    29    18    21     3.97      34.90     0.10
  11    30    19    22     5.97      37.67     0.00
  12    31    20    23     6.69      45.78     0.00
  13    32    21    24     5.95      38.93     0.20
  14    33    22    25     10.57     46.44     0.00
  15    34    23    26     11.26     29.52     0.40
  16    35    24    27     29.95     73.51     0.10
  17    36    25    28     7.12      20.38     0.10
  18    37    26    29     8.40      27.99     0.20
  19    38    27    30     22.83     98.78     0.10
  20    39    28    31     24.33     98.88     0.10
  21    40    29    32     10.79     46.50     0.30
  1     22    10    13     4.36      20.58     0.20
  2     23    11    14     6.09      31.19     0.40
  3     24    12    15     7.39      34.91     0.20
  4     25    13    16     8.27      41.12     0.30
  5     26    14    17     7.98      34.59     0.10
  6     27    15    18     3.76      22.84     0.00
  7     28    16    19     3.96      22.43     0.90
  8     29    17    20     7.89      53.99     0.40
  9     30    18    21     5.63      35.42     0.00
  10    31    19    22     10.66     47.55     0.00
  11    32    20    23     5.66      30.30     0.00
  12    33    21    24     10.03     48.15     0.00
  13    34    22    25     12.84     38.12     0.10
  14    35    23    26     11.74     26.73     0.10
  15    36    24    27     13.63     25.66     0.00
  16    37    25    28     34.07     81.54     0.00
  17    38    26    29     16.45     38.24     0.20
  18    39    27    30     8.74      23.37     0.50
  19    40    28    31     25.77     87.84     0.10
  1     24    11    14     24.57     98.79     0.30
  2     25    12    15     25.15     99.65     0.20
  3     26    13    16     7.84      38.85     0.20
